index,unit,ticker,shares,close_old,cap_old,close_new,cap_new,missing_old,missing_new,retried,recovered_old,recovered_new
HS300,CNY,000001.SZ,8035796667,11.520000457763672,92572381282.33578,11.550000190734863,92813453036.55658,0,0,0,0,0
HS300,CNY,000002.SZ,8239467268,6.320000171661377,52073434548.158295,6.179999828338623,50919906301.841705,0,0,0,0,0
HS300,CNY,000063.SZ,3755314063,51.31999969482422,192722716567.1291,41.720001220703125,156671707292.4836,0,0,0,0,0
HS300,CNY,000100.SZ,17660823403,4.199999809265137,74175454924.06526,4.300000190734863,75941544001.43474,0,0,0,0,0
HS300,CNY,000157.SZ,5176148339,8.09000015258789,41875040852.32756,8.630000114440918,44670160757.93317,0,0,0,0,0
HS300,CNY,000166.SZ,15801206615,5.519999980926514,87222660213.41591,5.46999979019165,86432596868.82492,0,0,0,0,0
HS300,CNY,000301.SZ,1870647576,9.109999656677246,17041598775.124123,9.460000038146973,17696326140.319542,0,0,0,0,0
HS300,CNY,000333.SZ,4007731659,74.87999725341797,300098935618.35626,76.19999694824219,305389140185.1736,0,0,0,0,0
HS300,CNY,000338.SZ,6830196020,14.170000076293945,96783878124.5026,18.270000457763672,124787684412.01561,0,0,0,0,0
HS300,CNY,000408.SZ,1072426509,60.58000183105469,64967599878.89159,57.619998931884766,61793214303.104904,0,0,0,0,0
HS300,CNY,000425.SZ,7676926651,10.65999984741211,81836036928.25395,10.729999542236328,82373419451.01187,0,0,0,0,0
HS300,CNY,000538.SZ,721752066,56.470001220703125,40757340048.065,56.029998779296875,40439767376.935,0,0,0,0,0
HS300,CNY,000568.SZ,721403432,129.39999389648438,93349599697.70288,131.64999389648438,94972757419.70288,0,0,0,0,0
HS300,CNY,000596.SZ,257195616,151.58999633789062,38988282487.56152,152.25999450683594,39160603079.342285,0,0,0,0,0
HS300,CNY,000617.SZ,2391628520,10.779999732971191,25781754806.966286,9.829999923706055,23509708169.133224,0,0,0,0,0
HS300,CNY,000625.SZ,8217984217,12.609999656677246,103628778154.94902,12.260000228881836,100752488381.36731,0,0,0,0,0
HS300,CNY,000630.SZ,6160716353,5.860000133514404,36101798651.124374,5.210000038146973,32097332434.142677,0,0,0,0,0
HS300,CNY,000651.SZ,3829008076,40.970001220703125,156874465547.80212,40.02000045776367,153236904954.30078,0,0,0,0,0
HS300,CNY,000661.SZ,288585734,116.13999938964844,33516346970.621246,104.5,30157209203.0,0,0,0,0,0
HS300,CNY,000708.SZ,815065518,14.819999694824219,12079270728.021744,15.229999542236328,12413447466.032616,0,0,0,0,0
HS300,CNY,000725.SZ,35501430006,4.070000171661377,144490826218.64435,4.010000228881836,142360742449.69247,0,0,0,0,0
HS300,CNY,000768.SZ,1259999587,25.90999984741211,32646589106.90932,25.329999923706055,31915789442.57966,0,0,0,0,0
HS300,CNY,000776.SZ,3923171173,23.40999984741211,91841436561.30159,22.75,89252144185.75,0,0,0,0,0
HS300,CNY,000786.SZ,988589941,23.649999618530273,23380151727.532867,24.299999237060547,24022734812.06573,0,0,0,0,0
HS300,CNY,000792.SZ,3302893749,23.899999618530273,78939159341.14603,25.3799991607666,83827440577.72125,0,0,0,0,0
HS300,CNY,000800.SZ,1053301767,7.03000020980835,7404711643.001505,7.320000171661377,7710169115.251232,0,0,0,0,0
HS300,CNY,000807.SZ,2007843299,23.200000762939453,46581966068.66287,25.31999969482422,50838591717.93485,0,0,0,0,0
HS300,CNY,000858.SZ,1743385337,120.29000091552734,209711823783.84695,116.75,203540238094.75,0,0,0,0,0
HS300,CNY,000876.SZ,3463523745,9.819999694824219,34011802118.916435,9.8100004196167,33977169391.802402,0,0,0,0,0
HS300,CNY,000895.SZ,1027341343,25.389999389648438,26084196071.730606,26.190000534057617,26906070321.829468,0,0,0,0,0
HS300,CNY,000938.SZ,1976343794,28.559999465942383,56444377701.15854,26.290000915527344,51958080153.656784,0,0,0,0,0
HS300,CNY,000963.SZ,722808233,39.93000030517578,28861732964.273567,40.29999923706055,29129171238.441082,0,0,0,0,0
HS300,CNY,000975.SZ,1640263653,21.979999542236328,36052994342.08688,21.030000686645508,34494745748.86967,0,0,0,0,0
HS300,CNY,000977.SZ,989215917,68.41000366210938,67672264504.58688,62.400001525878906,61727074730.2237,0,0,0,0,0
HS300,CNY,000983.SZ,2110859716,7.400000095367432,15620362099.70727,7.480000019073486,15789230715.941454,0,0,0,0,0
HS300,CNY,000999.SZ,610365288,29.209999084472656,17828769503.67389,29.8700008392334,18231611664.798935,0,0,0,0,0
HS300,CNY,001289.SZ,3436720425,17.600000381469727,60486280791.0048,17.530000686645508,60245711410.05864,0,0,0,0,0
HS300,CNY,001391.SZ,1827303253,6.590000152587891,12041928716.094349,6.53000020980835,11932290625.47348,0,0,0,0,0
HS300,CNY,001965.SZ,2084969192,10.399999618530273,21683678801.447372,10.420000076293945,21725379139.710526,0,0,0,0,0
