index,unit,ticker,shares,close_old,cap_old,close_new,cap_new,missing_old,missing_new,retried,recovered_old,recovered_new
S&P 500,USD,MMM,530433523.0,164.83999633789062,87436659988.81442,168.08999633789062,89160568938.56442,0,0,0,0,0
S&P 500,USD,AOS,112204796.0,66.26000213623047,7434690022.655304,65.0999984741211,7304532048.389069,0,0,0,0,0
S&P 500,USD,ABT,1728664769.0,126.36000061035156,218434081265.93323,128.11000061035156,221459244611.68323,0,0,0,0,0
S&P 500,USD,ABBV,1763832189.0,219.16000366210938,386561469000.5864,236.27999877929688,416758267463.80457,0,0,0,0,0
S&P 500,USD,ACN,619035045.0,245.75999450683594,152134049258.73895,251.85000610351562,155903979861.54007,0,0,0,0,0
S&P 500,USD,ADBE,417411176.0,326.95001220703125,136472589088.55127,324.19000244140625,135320530166.51025,0,0,0,0,0
S&P 500,USD,AMD,1617442990.0,233.5399932861328,377737625025.3026,203.77999877929688,329602530527.7823,0,0,0,0,0
S&P 500,USD,AES,708054733.0,14.130000114440918,10004813458.320435,13.75,9735752578.75,0,0,0,0,0
S&P 500,USD,AFL,519512197.0,114.08999633789062,59271144653.21951,110.9800033569336,57655465367.02795,0,0,0,0,0
S&P 500,USD,A,282075009.0,146.74000549316406,41391688370.1443,151.25,42663845111.25,0,0,0,0,0
S&P 500,USD,APD,221510678.0,259.739990234375,57535181340.529785,257.3699951171875,57010202115.26489,0,0,0,0,0
S&P 500,USD,ABNB,409716594.0,120.87999725341797,49526540757.399765,114.26000213623047,46814218905.68907,0,0,0,0,0
S&P 500,USD,AKAM,140645533.0,83.73999786376953,11777656632.968727,89.01000213623047,12518859192.781273,0,0,0,0,0
S&P 500,USD,ALB,117177317.0,97.18000030517578,11387291701.81968,116.81999969482422,13688654136.18032,0,0,0,0,0
S&P 500,USD,ARE,154013051.0,55.61000061035156,8564665860.112106,50.88999938964844,7837724071.387894,0,0,0,0,0
S&P 500,USD,ALGN,67226158.0,134.83999633789062,9064774898.530457,142.55999755859375,9583760920.353638,0,0,0,0,0
S&P 500,USD,ALLE,84830087.0,167.35000610351562,14196315577.211761,162.8699951171875,13816275855.48059,0,0,0,0,0
S&P 500,USD,LNT,256297951.0,67.33999633789062,17259103081.74887,68.2699966430664,17497460254.3948,0,0,0,0,0
S&P 500,USD,ALL,260088066.0,202.2899932861328,52613213124.94327,214.32000732421875,55742076210.06189,0,0,0,0,0
S&P 500,USD,GOOGL,10797551600.0,278.8299865722656,3010681167641.345,299.6600036621094,3235594351997.815,0,0,0,0,0
S&P 500,USD,GOOG,10797551600.0,279.70001220703125,3020075314326.05,299.6499938964844,3235486271036.975,0,0,0,0,0
S&P 500,USD,MO,1675179915.0,58.029998779296875,97210688422.55264,58.189998626708984,97478716953.34047,0,0,0,0,0
S&P 500,USD,AMZN,9702012443.0,244.41000366210938,2371268896723.461,220.69000244140625,2141137149732.2239,0,0,0,0,0
S&P 500,USD,AMCR,2294296331.0,8.369999885559082,19203260027.908623,8.5,19501518813.5,0,0,0,0,0
S&P 500,USD,AEE,269166786.0,104.6500015258789,28168304565.61592,104.52999877929688,28136003812.007263,0,0,0,0,0
S&P 500,USD,AEP,534468056.0,121.43000030517578,64900456203.18671,120.83999633789062,64585117929.75952,0,0,0,0,0
S&P 500,USD,AXP,535733708.0,368.5400085449219,197439305324.12268,352.8900146484375,189055076063.78174,0,0,0,0,0
S&P 500,USD,AIG,537536457.0,76.93000030517578,41352679801.05311,75.95999908447266,40831268781.590675,0,0,0,0,0
S&P 500,USD,AMT,466793679.0,177.9499969482422,83065933753.50874,179.55999755859375,83817471861.607,0,0,0,0,0
S&P 500,USD,AWK,194723562.0,130.83999633789062,25477630138.981018,132.74000549316406,25847606689.528473,0,0,0,0,0
S&P 500,USD,AMP,92543381.0,461.42999267578125,42702291617.02203,447.55999755859375,41418715374.42401,0,0,0,0,0
S&P 500,USD,AME,228942356.0,196.2899932861328,44939093522.15143,195.02000427246094,44648339245.26727,0,0,0,0,0
S&P 500,USD,AMGN,537123700.0,320.20001220703125,171987015296.6858,337.5400085449219,181300738287.68005,0,0,0,0,0
S&P 500,USD,APH,1216135869.0,139.08999633789062,169152333565.58743,131.60000610351562,160043487783.10428,0,0,0,0,0
S&P 500,USD,ADI,490105684.0,228.47999572753906,111979344586.36261,232.32000732421875,113861356096.52124,0,0,0,0,0
S&P 500,USD,AON,208055187.0,346.32000732421875,72053673885.6817,346.510009765625,72093204879.15894,0,0,0,0,0
S&P 500,USD,APA,352530595.0,23.829999923706055,8400804051.95405,23.950000762939453,8443108019.209499,0,0,0,0,0
S&P 500,USD,APO,458423552.0,132.3699951171875,60681523339.84375,130.02000427246094,59604232189.63672,0,0,0,0,0
S&P 500,USD,AAPL,14750642146.0,268.4700012207031,3960104914942.775,271.489990234375,4004651692168.3003,0,0,0,0,0
S&P 500,USD,AMAT,790696960.0,230.07000732421875,181915655378.4375,224.00999450683594,177124021666.17188,0,0,0,0,0
S&P 500,USD,APTV,213953190.0,83.66000366210938,17899324658.919983,74.12999725341797,15860349387.060013,0,0,0,0,0
S&P 500,USD,ACGL,348155666.0,89.56999969482422,31184302897.371323,92.45999908447266,32190472559.613968,0,0,0,0,0
S&P 500,USD,ADM,474788481.0,56.97999954223633,27053447430.03908,58.630001068115234,27836849148.15881,0,0,0,0,0
S&P 500,USD,ANET,1041466531.0,134.64999389648438,140233462042.54276,117.43000030517578,122299415053.16037,0,0,0,0,0
S&P 500,USD,AJG,253895592.0,250.00999450683594,63476435561.22986,251.41000366210938,63831891714.51343,0,0,0,0,0
S&P 500,USD,AIZ,49787635.0,224.32000732421875,11168362647.85553,226.82000732421875,11292831735.35553,0,0,0,0,0
S&P 500,USD,T,7075412385.0,24.829999923706055,175682488979.73886,25.93000030517578,183465445302.2945,0,0,1,1,0
S&P 500,USD,ATO,160928527.0,176.91000366210938,28469866300.907867,175.16000366210938,28188241378.657867,0,0,1,1,1
S&P 500,USD,ADSK,212465370.0,297.17999267578125,63140457100.45715,290.79998779296875,61784927002.42859,0,0,0,0,0
S&P 500,USD,ADP,403546823.0,254.16000366210938,102565462011.5126,253.1199951171875,102145769867.31653,0,0,0,0,0
S&P 500,USD,AZO,16584761.0,3718.260009765625,61666453597.82056,3897.8798828125,64645406263.15332,0,0,0,0,0
S&P 500,USD,AVB,132998019.0,177.3800048828125,23591189259.62439,180.67999267578125,24030081098.813416,0,0,0,0,0
S&P 500,USD,AVY,76600508.0,174.07000732421875,13333850988.598877,170.4600067138672,13057323107.965637,0,0,0,0,0
S&P 500,USD,AXON,75141702.0,602.510009765625,45273627605.82568,521.989990234375,39223216293.17432,0,0,0,0,0
S&P 500,USD,BKR,984445096.0,47.869998931884766,47125385694.019196,48.880001068115234,48119677343.980804,0,0,0,0,0
S&P 500,USD,BALL,266207777.0,48.97999954223633,13038856795.59975,49.869998931884766,13275781554.649418,0,0,0,0,0
S&P 500,USD,BAC,7275257242.0,53.20000076293945,387043690824.9808,51.560001373291016,375112273388.5654,0,0,0,0,0
S&P 500,USD,BAX,511901911.0,18.0,9214234398.0,18.309999465942383,9372923717.024885,0,0,0,0,0
S&P 500,USD,BDX,285921265.0,177.83999633789062,50848236720.525055,192.72000122070312,55102746539.82498,0,0,0,0,0
S&P 500,USD,BRK-B,1235323.0,499.05999755859375,616500293.3640747,504.0400085449219,622652215.4757385,0,0,0,0,0
S&P 500,USD,BBY,194965570.0,79.02999877929688,15408128759.10492,76.44999694824219,14905117231.512299,0,0,0,0,0
S&P 500,USD,TECH,153939832.0,57.40999984741211,8837685731.630646,61.529998779296875,9471917675.045166,0,0,0,0,0
S&P 500,USD,BIIB,146266566.0,155.50999450683594,22745912875.193756,175.3000030517578,25640529466.170135,0,0,0,0,0
S&P 500,USD,BLK,144009522.0,1082.199951171875,155847097676.68506,1014.719970703125,146129337944.81104,0,0,0,0,0
S&P 500,USD,BX,743419783.0,145.94000244140625,108494684946.0097,142.6699981689453,106063699079.36772,0,0,0,0,0
S&P 500,USD,XYZ,541538895.0,65.44999694824219,35443719025.10445,61.95000076293945,33548334958.41139,0,0,0,0,0
S&P 500,USD,BK,695842850.0,109.63999938964844,76292209649.29123,106.43000030517578,74058554737.85439,0,0,0,0,0
S&P 500,USD,BA,728270271.0,194.61000061035156,141728677883.8109,179.6999969482422,130870165476.19551,0,0,0,0,0
S&P 500,USD,BKNG,32140659.0,4940.0,158774855460.0,4768.0,153246662112.0,0,0,0,0,0
S&P 500,USD,BSX,1478217079.0,100.0199966430664,147851267279.30344,96.87999725341797,143209666553.47552,0,0,0,0,0
S&P 500,USD,BMY,2032007241.0,46.689998626708984,94874415291.75272,46.25,93980334896.25,0,0,0,0,0
S&P 500,USD,AVGO,405792630.0,349.42999267578125,141796115728.786,340.20001220703125,138050657679.52332,0,0,0,0,0
S&P 500,USD,BR,116121743.0,221.72000122070312,25746512999.710175,228.38999938964844,26521044812.894913,0,0,0,0,0
S&P 500,USD,BRO,294079383.0,78.54000091552734,23096995010.057716,80.31999969482422,23620455952.814095,0,0,0,0,0
S&P 500,USD,BF-B,335134377.0,26.600000381469727,8914574556.04362,28.450000762939453,9534573281.337238,0,0,0,0,0
S&P 500,USD,BLDR,107548461.0,109.41999816894531,11767952405.692886,101.62000274658203,10929074902.21067,0,0,0,0,0
S&P 500,USD,BG,159157411.0,94.72000122070312,15075390164.203949,94.58000183105469,15053108223.805923,0,0,0,0,0
S&P 500,USD,BXP,147012984.0,72.36000061035156,10637859611.969604,70.04000091552734,10296789533.954407,0,0,0,0,0
S&P 500,USD,CHRW,117661085.0,149.44000244140625,17583272829.65851,151.67999267578125,17846832511.024475,0,0,0,0,0
S&P 500,USD,CDNS,271101308.0,325.04998779296875,88121476856.05786,300.5799865722656,81487627518.36365,0,0,0,0,0
S&P 500,USD,CZR,193473919.0,19.81999969482422,3834653015.5364456,21.31999969482422,4124863894.0364456,0,0,0,0,0
S&P 500,USD,CPT,104535540.0,101.77999877929688,10639627133.59314,105.2300033569336,11000275225.118866,0,0,0,0,0
S&P 500,USD,CPB,191939965.0,30.739999771118164,5900234480.168428,31.65999984741211,6076819262.612286,0,0,0,0,0
S&P 500,USD,COF,622955360.0,217.82000732421875,135692141077.86133,207.8699951171875,129493727641.42578,0,0,0,0,0
