ticker,missing_old,missing_new,retried,recovered_old,recovered_new
DVA,0,0,1,1,0
EXR,0,0,1,0,1
FANG,0,0,1,0,1
IPG,0,1,1,1,0
JBHT,0,0,1,1,0
PGR,0,0,1,0,1
VZ,0,0,1,1,1
WBA,1,1,1,0,0
