ticker,missing_old,missing_new,retried,recovered_old,recovered_new
002049.SZ,0,0,1,1,1
002916.SZ,0,0,1,1,0
300308.SZ,0,0,1,1,1
300832.SZ,0,0,1,0,1
600010.SS,0,0,1,1,0
600415.SS,0,0,1,1,0
600674.SS,0,0,1,1,1
600690.SS,0,0,1,1,1
600741.SS,0,0,1,1,1
600760.SS,0,0,1,1,1
600795.SS,0,0,1,1,1
600803.SS,0,0,1,1,1
600809.SS,0,0,1,1,1
600845.SS,0,0,1,1,1
600875.SS,0,0,1,1,1
600886.SS,0,0,1,1,1
600887.SS,0,0,1,1,1
600893.SS,0,0,1,1,1
600900.SS,0,0,1,1,1
600905.SS,0,0,1,1,1
600918.SS,0,0,1,1,1
600919.SS,0,0,1,1,1
600926.SS,0,0,1,1,1
600938.SS,0,0,1,0,1
600999.SS,0,0,1,0,1
601985.SS,0,0,1,0,1
