index,unit,ticker,shares,close_old,cap_old,close_new,cap_new,missing_old,missing_new,retried,recovered_old,recovered_new
HSI,HKD,0001.HK,2649624785,53.45000076293945,141622446779.7533,56.099998474121094,148643946395.49344,0,0,0,0,0
HSI,HKD,0002.HK,1812324052,67.94999694824219,123147413802.62592,68.25,123691116549.0,0,0,0,0,0
HSI,HKD,0003.HK,10849968067,7.179999828338623,77902768858.53954,7.179999828338623,77902768858.53954,0,0,0,0,0
HSI,HKD,0005.HK,16962713940,105.0999984741211,1782781209210.9526,111.0,1882861247340.0,0,0,0,0,0
HSI,HKD,0006.HK,1363374522,51.29999923706055,69941111938.4278,52.0,70895475144.0,0,0,0,0,0
HSI,HKD,0011.HK,684844220,151.39999389648438,103685410728.0426,152.6999969482422,104575710304.0213,0,0,0,0,0
HSI,HKD,0012.HK,1331855920,29.31999969482422,39050015167.94983,29.299999237060547,39023377439.87457,0,0,0,0,0
HSI,HKD,0016.HK,1384925220,96.94999694824219,134268495852.54364,98.5999984741211,136553624578.77182,0,0,0,0,0
HSI,HKD,0027.HK,2593787481,38.400001525878906,99601443228.2056,39.779998779296875,103180862827.93552,0,0,0,0,0
HSI,HKD,0066.HK,1587516653,30.34000015258789,48165255494.25581,31.059999465942383,49308266394.35464,0,0,1,1,1
HSI,HKD,0101.HK,1709287518,8.729999542236328,14922079249.69027,9.039999961853027,15451959097.515856,0,0,1,1,1
HSI,HKD,0175.HK,5681999682,16.709999084472656,94946209484.19392,17.3700008392334,98696339244.8639,0,0,0,0,0
HSI,HKD,0241.HK,5872648020,5.570000171661377,32710650479.506844,5.440000057220459,31947205564.835617,0,0,0,0,0
HSI,HKD,0267.HK,4942144718,12.020000457763672,59404581772.69431,12.390000343322754,61233174752.77074,0,0,0,0,0
HSI,HKD,0285.HK,650567735,31.6200008392334,20570952326.67817,34.779998779296875,22626745029.149933,0,0,0,0,0
HSI,HKD,0288.HK,7467316342,8.399999618530273,62725454424.24487,8.350000381469727,62352094304.25513,0,0,0,0,0
HSI,HKD,0291.HK,1559553000,27.520000457763672,42918899273.90671,27.139999389648438,42326267468.12439,0,0,0,0,0
HSI,HKD,0300.HK,4008793631,87.25,349767244304.75,91.44999694824219,366604165321.0827,0,0,0,0,0
HSI,HKD,0316.HK,130133162,126.19999694824219,16422804647.265106,133.60000610351562,17385791237.469788,0,0,0,0,0
HSI,HKD,0322.HK,1860670416,11.970000267028809,22272225376.372604,12.0600004196167,22439685997.72838,0,0,0,0,0
HSI,HKD,0386.HK,33820657391,4.429999828338623,149825506436.42938,4.53000020980835,153207585077.0863,0,0,0,0,0
HSI,HKD,0388.HK,1187946906,409.20001220703125,486107888436.505,407.3999938964844,483969562253.7475,0,0,0,0,0
HSI,HKD,0669.HK,1424866528,85.5,121826088144.0,96.0,136787186688.0,0,0,0,0,0
HSI,HKD,0688.HK,3703420242,13.65999984741211,50588719940.62292,13.180000305175781,48811079919.754166,0,0,0,0,0
HSI,HKD,0700.HK,6250724730,610.0,3812942085300.0,610.0,3812942085300.0,0,0,0,0,0
HSI,HKD,0728.HK,23596945856,5.849999904632568,138042131007.21988,5.929999828338623,139929884875.39578,0,0,0,0,0
HSI,HKD,0762.HK,6139819631,9.210000038146973,56547739035.72553,8.890000343322754,54582998627.529785,0,0,0,0,0
HSI,HKD,0823.HK,2585305672,35.900001525878906,92812477569.66339,35.0,90485698520.0,0,0,0,0,0
HSI,HKD,0836.HK,2149669685,18.34000015258789,39424942350.91356,18.729999542236328,40263312216.00931,0,0,0,0,0
HSI,HKD,0857.HK,29909288195,8.699999809265137,260210801591.756,8.829999923706055,264099012479.9524,0,0,0,0,0
HSI,HKD,0868.HK,1582445324,8.779999732971191,13893869522.16151,8.8100004196167,13941343968.460484,0,0,0,0,0
HSI,HKD,0881.HK,694404990,11.180000305175781,7763448000.115585,11.760000228881836,8166202841.336689,0,0,0,0,0
HSI,HKD,0883.HK,17093672651,21.540000915527344,368197724552.2647,22.079999923706055,377428290829.9363,0,0,0,0,0
HSI,HKD,0939.HK,102678149723,8.09000015258789,830666246926.5123,7.980000019073486,819371636747.9703,0,0,0,0,0
HSI,HKD,0941.HK,6622742392,86.0,569555845712.0,87.1500015258789,577172009568.303,0,0,0,0,0
HSI,HKD,0960.HK,1995608326,9.899999618530273,19756521666.135838,10.039999961853027,20035907516.91358,0,0,0,0,0
HSI,HKD,0968.HK,4479487499,3.200000047683716,14334360210.39861,3.25,14558334371.75,0,0,0,0,0
HSI,HKD,0981.HK,6120964760,68.80000305175781,421122394167.702,69.75,426937292010.0,0,0,0,0,0
HSI,HKD,0992.HK,9739022065,9.680000305175781,94273736561.31366,10.029999732971191,97682388711.35054,0,0,0,0,0
HSI,HKD,1024.HK,2771241880,64.0,177359480320.0,69.19999694824219,191769929638.84094,0,0,0,0,0
HSI,HKD,1038.HK,607175846,53.95000076293945,32757137354.938408,54.04999923706055,32817854013.061592,0,0,0,0,0
HSI,HKD,1044.HK,615304735,27.719999313354492,17056246831.703768,29.0,17843837315.0,0,0,0,0,0
HSI,HKD,1088.HK,5955189399,39.560001373291016,235587300802.6481,40.70000076293945,242376213082.74893,0,0,0,0,0
HSI,HKD,1093.HK,7786429399,7.380000114440918,57463849855.70613,7.710000038146973,60033370963.31871,0,0,0,0,0
HSI,HKD,1099.HK,1341819749,20.040000915527344,26890068998.43267,20.559999465942383,27587813322.83094,0,0,0,0,0
HSI,HKD,1109.HK,2884251132,29.780000686645508,85893000691.41809,29.65999984741211,85546888135.0182,0,0,0,0,0
HSI,HKD,1113.HK,1894080034,39.0,73869121326.0,40.79999923706055,77278463942.13162,0,0,0,0,0
HSI,HKD,1177.HK,8802994648,6.800000190734863,59860365285.43798,6.840000152587891,60212484735.550385,0,0,0,0,0
HSI,HKD,1209.HK,599407325,43.599998474121094,26134158455.377007,45.2400016784668,27117188389.085293,0,0,0,0,0
HSI,HKD,1211.HK,6217505494,92.75,576673634568.5,99.1500015258789,616465679217.2605,0,0,0,0,0
HSI,HKD,1299.HK,10516930860,76.80000305175781,807700322143.126,78.30000305175781,823475718433.126,0,0,0,0,0
HSI,HKD,1378.HK,3573305327,29.520000457763672,105483974888.76936,33.7400016784668,120563327730.65434,0,0,0,0,0
HSI,HKD,1398.HK,210693122941,6.400000095367432,1348436006915.662,6.329999923706055,1333687452141.9204,0,0,0,0,0
HSI,HKD,1810.HK,17391207791,38.08000183105469,662257224525.5326,42.779998779296875,743995848069.4783,0,0,0,0,0
HSI,HKD,1876.HK,3310083525,7.840000152587891,25951055341.078663,7.920000076293945,26215861770.53933,0,0,0,0,0
HSI,HKD,1928.HK,2039531760,19.06999969482422,38893870040.7843,21.399999618530273,43645978885.98038,0,0,0,0,0
HSI,HKD,1929.HK,2095511532,15.0,31432672980.0,13.90999984741211,29148565090.370316,0,0,0,0,0
HSI,HKD,1997.HK,1599484556,23.65999984741211,37843804350.898026,24.84000015258789,39731196615.101974,0,0,0,0,0
HSI,HKD,2015.HK,1088613638,68.6500015258789,74733327909.79259,69.9000015258789,76094094957.29259,0,0,0,0,0
HSI,HKD,2020.HK,1311529960,82.0,107545456720.0,83.5,109512751660.0,0,0,0,0,0
HSI,HKD,2057.HK,403692597,148.8000030517578,60069459665.57204,168.8000030517578,68143311605.57204,0,0,0,0,0
HSI,HKD,2269.HK,3539538119,30.559999465942383,108168283026.32271,32.619998931884766,115459729661.14542,0,0,0,0,0
HSI,HKD,2313.HK,792994911,66.80000305175781,52972062474.828415,64.5,51148171759.5,0,0,0,0,0
HSI,HKD,2318.HK,14860941785,56.900001525878906,845587610242.4976,60.45000076293945,898343942241.2488,0,0,0,0,0
HSI,HKD,2319.HK,2951582024,14.5,42797939348.0,14.65999984741211,43270192021.464325,0,0,0,0,0
HSI,HKD,2331.HK,2218516439,17.420000076293945,38646556536.63937,16.889999389648438,37470741300.635025,0,0,0,0,0
HSI,HKD,2359.HK,2458057034,101.5,249492788951.0,103.0,253179874502.0,0,0,0,0,0
HSI,HKD,2382.HK,657815239,62.79999923706055,41310796507.3268,68.5999984741211,45126124391.6536,0,0,0,0,0
HSI,HKD,2388.HK,3587978711,37.7400016784668,135410322575.44313,37.34000015258789,133975125616.2221,0,0,0,0,0
HSI,HKD,2618.HK,1870234099,11.819999694824219,22106166479.429848,12.399999618530273,23190902114.162308,0,0,0,0,0
HSI,HKD,2628.HK,8927407074,25.8799991607666,231041287582.94183,28.219999313354492,251931421498.31604,0,0,0,0,0
HSI,HKD,2688.HK,723457482,69.25,50099430628.5,73.80000305175781,53391164379.41702,0,0,0,0,0
HSI,HKD,2899.HK,20334507478,30.0,610035224340.0,34.400001525878906,699507088271.196,0,0,0,0,0
HSI,HKD,3690.HK,5370046527,95.55000305175781,513107962042.93146,99.05000305175781,531903124887.43146,0,0,0,0,0
HSI,HKD,3692.HK,1208039763,38.18000030517578,46122958520.00448,41.939998626708984,50665186001.22984,0,0,0,0,0
HSI,HKD,3968.HK,15904139033,51.29999923706055,815882320259.0049,53.70000076293945,854052278205.9951,0,0,0,0,0
HSI,HKD,3988.HK,133421715484,4.659999847412109,621745173796.9019,4.550000190734863,607068830900.3727,0,0,0,0,0
HSI,HKD,6618.HK,1012387160,62.150001525878906,62919863538.78021,60.20000076293945,60945707804.39011,0,0,0,0,0
HSI,HKD,6690.HK,5957106672,25.579999923706055,152382788215.26883,27.059999465942383,161199303362.8818,0,0,0,0,0
HSI,HKD,6862.HK,1749734340,13.170000076293945,23044001391.294136,13.65999984741211,23901370817.411728,0,0,0,0,0
