index,unit,ticker,shares,close_old,cap_old,close_new,cap_new,missing_old,missing_new,retried,recovered_old,recovered_new
HSI,HKD,0001.HK,2649624785,51.099998474121094,135395822470.49344,51.150001525878906,135528311795.75656,0,0,0,0,0
HSI,HKD,0002.HK,1812324052,65.8499984741211,119341536058.81296,66.05000305175781,119704009165.37408,0,0,0,0,0
HSI,HKD,0003.HK,10849968067,6.96999979019165,75624275150.57611,7.21999979019165,78336767167.32611,0,0,0,0,0
HSI,HKD,0005.HK,34258172400,102.5999984741211,3514888435966.1772,103.0999984741211,3532017522166.1772,0,0,0,0,0
HSI,HKD,0006.HK,1363374522,49.119998931884766,66968955064.3989,50.04999923706055,68236893785.92779,0,0,0,0,0
HSI,HKD,0011.HK,684844220,151.0,103411477220.0,151.8000030517578,103959354685.9787,0,0,0,0,0
HSI,HKD,0012.HK,1331855920,27.399999618530273,36492851699.93729,27.81999969482422,37052231287.94983,0,0,0,0,0
HSI,HKD,0016.HK,1384925220,96.75,133991515035.0,95.05000305175781,131637146387.45636,0,0,0,0,0
HSI,HKD,0027.HK,2592037523,37.63999938964844,97564290783.66585,39.0,101089463397.0,0,0,0,0,0
HSI,HKD,0066.HK,1587516653,26.719999313354492,42418443878.09882,27.5,43656707957.5,0,0,0,0,0
HSI,HKD,0101.HK,1709287518,8.869999885559082,15161380089.047567,8.829999923706055,15093008653.531712,0,0,0,0,0
HSI,HKD,0175.HK,5681898841,18.90999984741211,107444706216.32104,19.520000457763672,110910667977.28688,0,0,0,0,0
HSI,HKD,0241.HK,5824622916,6.139999866485596,35763183926.56894,5.920000076293945,34481768107.10346,0,0,0,0,0
HSI,HKD,0267.HK,4942144718,11.390000343322754,56291030034.77074,11.609999656677246,57378298479.22926,0,0,0,0,0
HSI,HKD,0285.HK,650567735,40.060001373291016,26061744357.518826,38.29999923706055,24916743754.156208,0,0,0,0,0
HSI,HKD,0288.HK,7467316342,7.650000095367432,57124970728.43878,7.400000095367432,55258141642.93878,0,0,1,1,1
HSI,HKD,0291.HK,1559553000,26.959999084472656,42045547452.186584,27.0,42107931000.0,0,0,0,0,0
HSI,HKD,0300.HK,4018986087,80.0999984741211,321920779436.2139,84.0,337594831308.0,0,0,0,0,0
HSI,HKD,0316.HK,130133162,123.0,16006378926.0,128.1999969482422,16683070971.265106,0,0,0,0,0
HSI,HKD,0322.HK,1860670416,10.619999885559082,19760319604.98317,10.90999984741211,20299913954.644226,0,0,0,0,0
HSI,HKD,0386.HK,34157208364,4.099999904632568,140044551034.91476,4.210000038146973,143801848515.43408,0,0,0,0,0
HSI,HKD,0388.HK,1188907044,432.79998779296875,514558954130.17456,425.0,505285493700.0,0,0,0,0,0
HSI,HKD,0669.HK,1425086260,91.8499984741211,130894170806.49094,99.0999984741211,141226046191.49094,0,0,0,0,0
HSI,HKD,0688.HK,3703420242,14.180000305175781,52514500161.754166,13.739999771118164,50884993277.43437,0,0,0,0,0
HSI,HKD,0700.HK,6251251907,639.0,3994549968573.0,637.5,3985173090712.5,0,0,0,0,0
HSI,HKD,0728.HK,23596945856,5.5,129783202208.0,5.650000095367432,133322746336.78012,0,0,0,0,0
HSI,HKD,0762.HK,6139819631,8.829999923706055,54214606873.298935,9.390000343322754,57652908443.029785,0,0,0,0,0
HSI,HKD,0823.HK,2580356372,40.63999938964844,104865681383.15546,40.7599983215332,105175321391.6775,0,0,0,0,0
HSI,HKD,0836.HK,2149669685,18.25,39231471751.25,18.40999984741211,39575418572.83644,0,0,0,0,0
HSI,HKD,0857.HK,29369379870,7.300000190734863,214396478652.76465,8.0,234955038960.0,0,0,0,0,0
HSI,HKD,0868.HK,1582445324,8.800000190734863,13925519153.027493,9.149999618530273,14479374110.945015,0,0,0,0,0
HSI,HKD,0881.HK,694404990,13.920000076293945,9666117513.778896,13.09000015258789,9089761425.057793,0,0,0,0,0
HSI,HKD,0883.HK,17093672651,18.84000015258789,322044795353.12744,20.020000457763672,342215334297.8824,0,0,0,0,0
