ticker,missing_old,missing_new,retried,recovered_old,recovered_new
0836.HK,0,0,1,1,1
1088.HK,0,0,1,0,1
2269.HK,0,0,1,0,1
2319.HK,0,0,1,1,1
2618.HK,0,0,1,1,0
2899.HK,0,0,1,1,1
